model,cümle_1,cümle_2,benzerlik_skoru
lemmatized_model_2.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.9999134
lemmatized_model_2.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.9996873
lemmatized_model_2.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,0.9995281
lemmatized_model_2.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,0.9996286
lemmatized_model_2.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,0.9996173
lemmatized_model_2.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Kadınların aldatılarak fuhşa zorlanması cezalandırılır.,0.99958813
lemmatized_model_2.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,0.9996638
lemmatized_model_2.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,0.9995406
lemmatized_model_2.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,0.99948496
lemmatized_model_2.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Cezaevi disiplin kurallarını ihlal eden kişi cezalandırılır.,0.99981195
lemmatized_model_2.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Aile bireyine kötü muamele eden kişi cezalandırılır.,0.9996964
lemmatized_model_2.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Adli sicil kaydını usulsüz silen kişi cezalandırılır.,0.99959856
lemmatized_model_2.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,0.99956304
lemmatized_model_2.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,0.9995406
lemmatized_model_2.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.9994667
lemmatized_model_2.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Bir kişiye hakaret eden fail cezalandırılır.,0.99977547
lemmatized_model_2.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,0.9996173
lemmatized_model_2.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Kasten yangın çıkaran kişi cezalandırılır.,0.9995962
lemmatized_model_2.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.9995859
lemmatized_model_2.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9995281
lemmatized_model_2.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.99946904
lemmatized_model_2.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Kişiyi hürriyetinden yoksun bırakma suçu işlenmiş olur.,0.99973
lemmatized_model_2.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Hukuka aykırı olarak bir kişiyi hürriyetinden yoksun bırakan kişi cezalandırılır.,0.9994495
lemmatized_model_2.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Çalışma hürriyetinin ihlali suçtur.,0.9989639
lemmatized_model_2.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,Tanığın gerçeğe aykırı ifade vermesi durumunda ceza verilir.,0.9994927
lemmatized_model_2.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,0.9994544
lemmatized_model_2.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,Kasten yangın çıkaran kişi cezalandırılır.,0.99939215
lemmatized_model_2.model,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,0.99982065
lemmatized_model_2.model,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,Müstehcen yayın yapan kişiye ceza verilir.,0.99958646
lemmatized_model_2.model,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,0.99951714
lemmatized_model_2.model,Bürokrasiye karşı direnen vatandaş cezalandırılır.,Kamu görevlisine direnme suçunu işleyen kişi cezalandırılır.,0.99979967
lemmatized_model_2.model,Bürokrasiye karşı direnen vatandaş cezalandırılır.,Görevli memura karşı koyan kişi cezalandırılır.,0.99973834
lemmatized_model_2.model,Bürokrasiye karşı direnen vatandaş cezalandırılır.,Görevle ilgili sırrı açıklayan memur cezalandırılır.,0.99960846
lemmatized_model_2.model,Kamu görevlisine direnme suçunu işleyen kişi cezalandırılır.,Bürokrasiye karşı direnen vatandaş cezalandırılır.,0.99979967
lemmatized_model_2.model,Kamu görevlisine direnme suçunu işleyen kişi cezalandırılır.,Görevli memura karşı koyan kişi cezalandırılır.,0.99968296
lemmatized_model_2.model,Kamu görevlisine direnme suçunu işleyen kişi cezalandırılır.,Kamu hizmetini engelleyen fiil suç sayılır.,0.9996815
lemmatized_model_2.model,Memura rüşvet veren kişi yargılanır.,Rüşvet alan ve veren kişi cezalandırılır.,0.99986774
lemmatized_model_2.model,Memura rüşvet veren kişi yargılanır.,Görevli memura itaatsizlik eden kişi cezalandırılır.,0.9996987
lemmatized_model_2.model,Memura rüşvet veren kişi yargılanır.,Göreve ilişkin sırrı ifşa eden kişi cezalandırılır.,0.9996407
lemmatized_model_2.model,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,0.99982065
lemmatized_model_2.model,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,0.99976474
lemmatized_model_2.model,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,Hırsızlık yapan kişi hapis cezası alır.,0.9995116
lemmatized_model_2.model,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9999134
lemmatized_model_2.model,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.99971265
lemmatized_model_2.model,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,0.9995859
lemmatized_model_2.model,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,0.9996286
lemmatized_model_2.model,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,0.99958885
lemmatized_model_2.model,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,Haksız yere gözaltı yapan kişi cezalandırılır.,0.9994084
lemmatized_model_2.model,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,Rüşvet alma veya verme fiilinde bulunan kişiler hapis cezası ile cezalandırılır.,0.99976474
lemmatized_model_2.model,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,Hırsızlık yapan kişi hapis cezası alır.,0.9996394
lemmatized_model_2.model,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,0.99951714
lemmatized_model_2.model,Başkasına ait mala zarar veren kişi hakkında cezai işlem uygulanır.,Ruhsatsız silah bulunduran kişi hakkında cezai işlem uygulanır.,0.99958134
lemmatized_model_2.model,Başkasına ait mala zarar veren kişi hakkında cezai işlem uygulanır.,Başkasının kimliğini kullanan kişi hakkında ceza verilir.,0.9993785
lemmatized_model_2.model,Başkasına ait mala zarar veren kişi hakkında cezai işlem uygulanır.,Yalan tanıklık eden kişi hakkında yargı işlemi yapılır.,0.9993707
lemmatized_model_2.model,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.9996664
lemmatized_model_2.model,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,0.99964046
lemmatized_model_2.model,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,0.9995377
lemmatized_model_2.model,Kamu görevlisinin zimmet suçu işlemesi durumunda ağır cezalar uygulanır.,Görevli memura karşı tehdit suçu işlenirse ceza verilir.,0.99978065
lemmatized_model_2.model,Kamu görevlisinin zimmet suçu işlemesi durumunda ağır cezalar uygulanır.,Kaçakçılık suçu kapsamında ceza uygulanır.,0.9996944
lemmatized_model_2.model,Kamu görevlisinin zimmet suçu işlemesi durumunda ağır cezalar uygulanır.,Nitelikli hırsızlık kapsamında ceza uygulanır.,0.99960434
lemmatized_model_2.model,Görevi kötüye kullanan memura ceza verilir.,Görevi ihmal eden kamu görevlisi ceza alır.,0.9997002
lemmatized_model_2.model,Görevi kötüye kullanan memura ceza verilir.,Görevli memura karşı koyan kişi cezalandırılır.,0.99953717
lemmatized_model_2.model,Görevi kötüye kullanan memura ceza verilir.,Görevle ilgili sırrı açıklayan memur cezalandırılır.,0.99951464
lemmatized_model_2.model,Görevi kötüye kullanan kamu görevlisi cezalandırılır.,Yetkisini kötüye kullanan kamu görevlisi cezalandırılır.,0.9998958
lemmatized_model_2.model,Görevi kötüye kullanan kamu görevlisi cezalandırılır.,Görevi kötüye kullanan zabıta cezalandırılır.,0.99976766
lemmatized_model_2.model,Görevi kötüye kullanan kamu görevlisi cezalandırılır.,Kamu görevlisine görevinden dolayı direnme suçtur.,0.999542
lemmatized_model_2.model,Yalan tanıklık eden kişi hakkında yargı işlemi yapılır.,Mahkeme kararına muhalefet eden kişi hakkında işlem yapılır.,0.9995769
lemmatized_model_2.model,Yalan tanıklık eden kişi hakkında yargı işlemi yapılır.,Ruhsatsız silah bulunduran kişi hakkında cezai işlem uygulanır.,0.9995159
lemmatized_model_2.model,Yalan tanıklık eden kişi hakkında yargı işlemi yapılır.,Başkasına ait mala zarar veren kişi hakkında cezai işlem uygulanır.,0.9993707
lemmatized_model_2.model,Gerçeğe aykırı beyanda bulunan tanık cezalandırılır.,Mahkemeye yalan beyanda bulunan şahıs cezalandırılır.,0.9997544
lemmatized_model_2.model,Gerçeğe aykırı beyanda bulunan tanık cezalandırılır.,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,0.9995128
lemmatized_model_2.model,Gerçeğe aykırı beyanda bulunan tanık cezalandırılır.,İmar mevzuatına aykırı inşaat yapan kişi cezalandırılır.,0.9994506
lemmatized_model_2.model,Suç delillerini gizleyen kişi cezalandırılır.,"Suç delillerini yok eden, gizleyen veya değiştiren kişi cezalandırılır.",0.99982053
lemmatized_model_2.model,Suç delillerini gizleyen kişi cezalandırılır.,Yargıya ilişkin suçları işleyen kişiler cezalandırılır.,0.9997743
lemmatized_model_2.model,Suç delillerini gizleyen kişi cezalandırılır.,Cinayete azmettiren cezalandırılır.,0.9997145
lemmatized_model_2.model,"Suç delillerini yok eden, gizleyen veya değiştiren kişi cezalandırılır.",Suç delillerini gizleyen kişi cezalandırılır.,0.99982053
lemmatized_model_2.model,"Suç delillerini yok eden, gizleyen veya değiştiren kişi cezalandırılır.","Azmettiren, asli fail gibi cezalandırılır.",0.9996845
lemmatized_model_2.model,"Suç delillerini yok eden, gizleyen veya değiştiren kişi cezalandırılır.",Hırsızlık için yapılan kazı veya delme faaliyeti cezalandırılır.,0.99967206
lemmatized_model_2.model,Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,Gece vakti hırsızlık yapan daha ağır cezalandırılır.,0.9995229
lemmatized_model_2.model,Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.",0.99950683
lemmatized_model_2.model,Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,İhaleye fesat karıştıran kişi cezalandırılır.,0.99943125
lemmatized_model_2.model,Nitelikli hırsızlık kapsamında ceza uygulanır.,Kaçakçılık suçu kapsamında ceza uygulanır.,0.9997176
lemmatized_model_2.model,Nitelikli hırsızlık kapsamında ceza uygulanır.,Hırsızlık suçu için ceza uygulanır.,0.9996111
lemmatized_model_2.model,Nitelikli hırsızlık kapsamında ceza uygulanır.,Kamu görevlisinin zimmet suçu işlemesi durumunda ağır cezalar uygulanır.,0.99960434
lemmatized_model_2.model,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.99973685
lemmatized_model_2.model,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,0.9996638
lemmatized_model_2.model,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,0.99964046
lemmatized_model_2.model,Bir kişiye hakaret eden fail cezalandırılır.,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,0.99977547
lemmatized_model_2.model,Bir kişiye hakaret eden fail cezalandırılır.,Kasten yangın çıkaran kişi cezalandırılır.,0.9997502
lemmatized_model_2.model,Bir kişiye hakaret eden fail cezalandırılır.,Suçluyu kayıran kişi cezalandırılır.,0.99955446
lemmatized_model_2.model,Adam öldürmeye teşebbüs eden kişi ağır ceza alır.,Tasarlayarak adam öldürme suçu için ağırlaştırılmış müebbet cezası verilir.,0.9995808
lemmatized_model_2.model,Adam öldürmeye teşebbüs eden kişi ağır ceza alır.,Hırsızlık yapan kişi hapis cezası alır.,0.9990656
lemmatized_model_2.model,Adam öldürmeye teşebbüs eden kişi ağır ceza alır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.9990323
lemmatized_model_2.model,Suça teşebbüs hükümlerine göre adam öldürmeye teşebbüs eden cezalandırılır.,Adam öldürmeye teşebbüs eden kişi ağır ceza alır.,0.99902135
lemmatized_model_2.model,Suça teşebbüs hükümlerine göre adam öldürmeye teşebbüs eden cezalandırılır.,Kaçan hükümlüye yardım eden kişi cezalandırılır.,0.9988437
lemmatized_model_2.model,Suça teşebbüs hükümlerine göre adam öldürmeye teşebbüs eden cezalandırılır.,Gasp eden kişi ağır cezalandırılır.,0.99870527
lemmatized_model_2.model,Ağır yaralama suçu işleyen ağır hapis cezasına çarptırılır.,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,0.99915344
lemmatized_model_2.model,Ağır yaralama suçu işleyen ağır hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.9990472
lemmatized_model_2.model,Ağır yaralama suçu işleyen ağır hapis cezasına çarptırılır.,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,0.99876946
lemmatized_model_2.model,Neticesi sebebiyle ağırlaşmış yaralama durumunda ceza artırılır.,Suçun tasarlanarak işlenmesi durumunda ceza artar.,0.9996175
lemmatized_model_2.model,Neticesi sebebiyle ağırlaşmış yaralama durumunda ceza artırılır.,Yağma suçunun silahla ve yaralama ile işlenmesi ağır cezayı gerektirir.,0.99957657
lemmatized_model_2.model,Neticesi sebebiyle ağırlaşmış yaralama durumunda ceza artırılır.,Yaralama sonucunda ölüm gerçekleşirse ağır ceza verilir.,0.99956346
lemmatized_model_2.model,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,0.99973685
lemmatized_model_2.model,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,0.9996922
lemmatized_model_2.model,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,0.9996917
lemmatized_model_2.model,Suç işlemeye alenen tahrik eden kişi cezalandırılır.,Yargıya ilişkin suçları işleyen kişiler cezalandırılır.,0.9998057
lemmatized_model_2.model,Suç işlemeye alenen tahrik eden kişi cezalandırılır.,Gasp eden kişi ağır cezalandırılır.,0.99979156
lemmatized_model_2.model,Suç işlemeye alenen tahrik eden kişi cezalandırılır.,Zorla çalıştırma suçu işleyen kişi cezalandırılır.,0.99976575
lemmatized_model_2.model,Cinsel saldırı fiili cezalandırılır.,Küçük yaştaki çocukla cinsel ilişkide bulunan cezalandırılır.,0.99974424
lemmatized_model_2.model,Cinsel saldırı fiili cezalandırılır.,Çocuğu cinsel amaçlı kullanan cezalandırılır.,0.9995449
lemmatized_model_2.model,Cinsel saldırı fiili cezalandırılır.,Reşit olmayanla cinsel ilişki kuran kişi cezalandırılır.,0.9995218
lemmatized_model_2.model,Cinsel saldırı suçu işleyen fail hapis cezası alır.,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,0.9996615
lemmatized_model_2.model,Cinsel saldırı suçu işleyen fail hapis cezası alır.,Yağma suçunun silahla ve yaralama ile işlenmesi ağır cezayı gerektirir.,0.9995612
lemmatized_model_2.model,Cinsel saldırı suçu işleyen fail hapis cezası alır.,Suçun tasarlanarak işlenmesi durumunda ceza artar.,0.99940705
lemmatized_model_2.model,Küçük yaştaki çocukla cinsel ilişkide bulunan cezalandırılır.,Cinsel saldırı fiili cezalandırılır.,0.99974424
lemmatized_model_2.model,Küçük yaştaki çocukla cinsel ilişkide bulunan cezalandırılır.,Reşit olmayanla cinsel ilişki kuran kişi cezalandırılır.,0.99971926
lemmatized_model_2.model,Küçük yaştaki çocukla cinsel ilişkide bulunan cezalandırılır.,Çocuğu cinsel amaçlı kullanan cezalandırılır.,0.99953926
lemmatized_model_2.model,Çocuğun cinsel istismarı suçu olarak değerlendirilir.,Çocuğun cinsel istismarı suç olarak tanımlanır.,0.9999623
lemmatized_model_2.model,Çocuğun cinsel istismarı suçu olarak değerlendirilir.,Reşit olmayanla cinsel ilişki kurma suçu düzenlenmiştir.,0.99966574
lemmatized_model_2.model,Çocuğun cinsel istismarı suçu olarak değerlendirilir.,Reşit olmayanla cinsel ilişki kuran kişi cezalandırılır.,0.9995204
lemmatized_model_2.model,Gasp eden kişi ağır cezalandırılır.,Suç işlemeye alenen tahrik eden kişi cezalandırılır.,0.99979156
lemmatized_model_2.model,Gasp eden kişi ağır cezalandırılır.,Halkı silahlı isyana tahrik eden kişi ağır cezalandırılır.,0.99966896
lemmatized_model_2.model,Gasp eden kişi ağır cezalandırılır.,Halkı kin ve düşmanlığa tahrik eden kişiye ceza verilir.,0.9996665
lemmatized_model_2.model,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,Yağma suçunun silahla ve yaralama ile işlenmesi ağır cezayı gerektirir.,0.99978364
lemmatized_model_2.model,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.9996922
lemmatized_model_2.model,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,Cinsel saldırı suçu işleyen fail hapis cezası alır.,0.9996615
lemmatized_model_2.model,Cezaevi firarı yapan mahkûm cezalandırılır.,Cezaevi disiplin kurallarını ihlal eden kişi cezalandırılır.,0.99972963
lemmatized_model_2.model,Cezaevi firarı yapan mahkûm cezalandırılır.,Suçluyu kayıran kişi cezalandırılır.,0.99968255
lemmatized_model_2.model,Cezaevi firarı yapan mahkûm cezalandırılır.,Kaçakçılık yapan şahıs cezalandırılır.,0.99966586
lemmatized_model_2.model,Tutuklu veya hükümlünün kaçması suçu cezalandırılır.,Tutuklu veya hükümlünün cezaevinden firar etmesi cezalandırılır.,0.9997402
lemmatized_model_2.model,Tutuklu veya hükümlünün kaçması suçu cezalandırılır.,Kaçan hükümlüye yardım eden kişi cezalandırılır.,0.9995644
lemmatized_model_2.model,Tutuklu veya hükümlünün kaçması suçu cezalandırılır.,Suçlunun kaçmasına yardım eden kişi cezalandırılır.,0.99950564
lemmatized_model_2.model,Görevi ihmal eden kamu görevlisi ceza alır.,Görevi kötüye kullanan memura ceza verilir.,0.9997002
lemmatized_model_2.model,Görevi ihmal eden kamu görevlisi ceza alır.,Kamu alacağını tahsil etmeyen görevli cezalandırılır.,0.9996008
lemmatized_model_2.model,Görevi ihmal eden kamu görevlisi ceza alır.,Görevli memura karşı koyan kişi cezalandırılır.,0.99959695
lemmatized_model_2.model,Görevin ihmal veya kötüye kullanılması durumunda cezai sorumluluk doğar.,Görevi kötüye kullanan zabıta cezalandırılır.,0.99949753
lemmatized_model_2.model,Görevin ihmal veya kötüye kullanılması durumunda cezai sorumluluk doğar.,Kamu görevlisinin kamu zararına yol açacak şekilde davranması cezalandırılır.,0.9994598
lemmatized_model_2.model,Görevin ihmal veya kötüye kullanılması durumunda cezai sorumluluk doğar.,Yetkisini kötüye kullanan kamu görevlisi cezalandırılır.,0.9994446
lemmatized_model_2.model,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,İmar mevzuatına aykırı inşaat yapan kişi cezalandırılır.,0.99981993
lemmatized_model_2.model,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,Gerçeğe aykırı beyanda bulunan tanık cezalandırılır.,0.9995128
lemmatized_model_2.model,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,Genel güvenliği kasten tehlikeye sokan kişi cezalandırılır.,0.99951035
lemmatized_model_2.model,Müstehcen yayın yapan kişiye ceza verilir.,Aleniyet arz eden edepsiz hareketlerde bulunan kişiye hapis veya para cezası verilir.,0.99958646
lemmatized_model_2.model,Müstehcen yayın yapan kişiye ceza verilir.,Halkı kin ve düşmanlığa tahrik eden kişiye ceza verilir.,0.999579
lemmatized_model_2.model,Müstehcen yayın yapan kişiye ceza verilir.,Sahtecilik yapan kişi ağır ceza alır.,0.99955726
