Yıl,Kanun,Madde No,İçerik,processed_tokens
1926,TCK 765,526,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,Unk etmek kişi altı ay iki yılmak kadar hapis ceza ile cezalandırmak .
2005,TCK 5237,267,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,hak yermek bir kimse suçlamak amaç iftira atmak kişi cezalandırmak .
1926,TCK 765,482,Mala zarar veren kişi tazminat ve hapis cezası ile cezalandırılır.,mal zarar vermek kişi tazminat ve hapis ceza ile cezalandırmak .
2005,TCK 5237,151,Başkasına ait mala zarar veren kişi hakkında cezai işlem uygulanır.,başka ait mal zarar vermek kişi hakkında cezai işlem uygulamak .
1926,TCK 765,510,Zimmetine para geçiren memur ağır hapis cezası ile cezalandırılır.,zimmet par geçirmek memur ağır hapis ceza ile cezalandırmak .
2005,TCK 5237,247,Kamu görevlisinin zimmet suçu işlemesi durumunda ağır cezalar uygulanır.,kamu görev zimmet suç işlemek durum ağır ceza uygulamak .
1926,TCK 765,577,Görevi kötüye kullanan memura ceza verilir.,görev kötü kullanmak memur ceza vermek .
2005,TCK 5237,257,Görevi kötüye kullanan kamu görevlisi cezalandırılır.,görev kötü kullanmak kamu görev cezalandırmak .
1926,TCK 765,585,Yalan tanıklık eden kişi hakkında yargı işlemi yapılır.,yalan tanık etmek kişi hakkında yargı işlem yapmak .
2005,TCK 5237,272,Gerçeğe aykırı beyanda bulunan tanık cezalandırılır.,gerçek aykırı Beyan bulunmak tanık cezalandırmak .
1926,TCK 765,564,Suç delillerini gizleyen kişi cezalandırılır.,suç delil gizlemek kişi cezalandırmak .
2005,TCK 5237,281,"Suç delillerini yok eden, gizleyen veya değiştiren kişi cezalandırılır.","suç delil yok etmek , gizlemek veya değişmek kişi cezalandırmak ."
1926,TCK 765,493,Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,kapkaç suret mal çalmak kişi hırsız ceza Unk .
2005,TCK 5237,142,Nitelikli hırsızlık kapsamında ceza uygulanır.,nitelik hırsız Kapsam ceza uygulamak .
1926,TCK 765,572,Hakime hakaret eden kişi hapis cezası ile cezalandırılır.,Haki hakaret etmek kişi hapis ceza ile cezalandırmak .
2005,TCK 5237,125,Bir kişiye hakaret eden fail cezalandırılır.,bir kişi hakaret etmek fail cezalandırmak .
1926,TCK 765,466,Adam öldürmeye teşebbüs eden kişi ağır ceza alır.,ada öldürmek teşebbüs etmek kişi ağır ceza Unk .
2005,TCK 5237,35 ve 81,Suça teşebbüs hükümlerine göre adam öldürmeye teşebbüs eden cezalandırılır.,suç teşebbüs hüküm göre ada öldürmek teşebbüs etmek cezalandırmak .
1926,TCK 765,462,Ağır yaralama suçu işleyen ağır hapis cezasına çarptırılır.,ağır yaralamak suç işlemek ağır hapis ceza çarpmak .
2005,TCK 5237,87,Neticesi sebebiyle ağırlaşmış yaralama durumunda ceza artırılır.,netice sebebiyle ağır yaralamak durum ceza artırmak .
1926,TCK 765,542,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,suç işlemek tahrik etmek kişi hapis ceza ile cezalandırmak .
2005,TCK 5237,214,Suç işlemeye alenen tahrik eden kişi cezalandırılır.,suç işlemek alenen tahrik etmek kişi cezalandırmak .
1926,TCK 765,426,Cinsel saldırı fiili cezalandırılır.,cinsel saldırı fiilî cezalandırmak .
2005,TCK 5237,102,Cinsel saldırı suçu işleyen fail hapis cezası alır.,cinsel saldırı suç işlemek fail hapis ceza Unk .
1926,TCK 765,436,Küçük yaştaki çocukla cinsel ilişkide bulunan cezalandırılır.,küçük yaş Çocuk cinsel ilişki bulunmak cezalandırmak .
2005,TCK 5237,103,Çocuğun cinsel istismarı suçu olarak değerlendirilir.,çocuk cinsel istismar suç olmak değerlendirmek .
1926,TCK 765,487,Gasp eden kişi ağır cezalandırılır.,gasp etmek kişi ağır cezalandırmak .
2005,TCK 5237,148,Yağma (gasp) suçunu işleyen fail ağır hapis cezası ile cezalandırılır.,yağma ( gasp ) suç işlemek fail ağır hapis ceza ile cezalandırmak .
1926,TCK 765,530,Cezaevi firarı yapan mahkûm cezalandırılır.,cezaevi firar yapmak mahkûm cezalandırmak .
2005,TCK 5237,292,Tutuklu veya hükümlünün kaçması suçu cezalandırılır.,tutuklu veya hüküm kaçmak suç cezalandırmak .
1926,TCK 765,508,Görevi ihmal eden kamu görevlisi ceza alır.,görev ihmal etmek kamu görev ceza Unk .
2005,TCK 5237,257,Görevin ihmal veya kötüye kullanılması durumunda cezai sorumluluk doğar.,görev ihmal veya kötü kullanmak durum cezai sorumluluk doğmak .
1926,TCK 765,536,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,genel ahlak aykırı yaymak yapmak kişi cezalandırmak .
2005,TCK 5237,226,Müstehcen yayın yapan kişiye ceza verilir.,müstehcen yaymak yapmak kişi ceza vermek .
1926,TCK 765,586,Mahkemeye yalan beyanda bulunan şahıs cezalandırılır.,mahkeme yalan Beyan bulunmak şâhıs cezalandırmak .
2005,TCK 5237,272,Tanığın gerçeğe aykırı ifade vermesi durumunda ceza verilir.,tanık gerçek aykırı ifade vermek durum ceza vermek .
1926,TCK 765,517,Oy kullanmayı engelleyen kişi cezalandırılır.,oy kullanmak engellemek kişi cezalandırmak .
2005,TCK 5237,152,Kişilerin siyasi haklarının kullanılmasını engelleyen kişi cezalandırılır.,kişi siyasî hak kullanmak engellemek kişi cezalandırmak .
1926,TCK 765,491,Hırsızlık yapan kişi hapis cezası alır.,hırsız yapmak kişi hapis ceza Unk .
2005,TCK 5237,141,Hırsızlık suçu için ceza uygulanır.,hırsız suç için ceza uygulamak .
1926,TCK 765,582,Mahkemeye baskı yapan kişi cezalandırılır.,mahkeme Bask yapmak kişi cezalandırmak .
2005,TCK 5237,277,Yargı görevi yapanı etkilemeye teşebbüs eden kişiye ceza verilir.,yargı görev yapmak etkilemek teşebbüs etmek kişi ceza vermek .
1926,TCK 765,492,Gece vakti hırsızlık yapan daha ağır cezalandırılır.,gece vakit hırsız yapmak daha ağır cezalandırmak .
2005,TCK 5237,143,Gece işlenen suçlar daha ağır cezalandırılır.,gece işlemek suç daha ağır cezalandırmak .
1926,TCK 765,450,Suçun tasarlanarak işlenmesi durumunda ceza artar.,suç tasarlamak işlemek durum ceza artmak .
2005,TCK 5237,82,Tasarlayarak adam öldürme suçu için ağırlaştırılmış müebbet cezası verilir.,tasarlamak ada öldürmek suç için ağır müebbet ceza vermek .
1926,TCK 765,546,Mahkeme kararını tanımayan kişi cezalandırılır.,Mahke karar tanımak kişi cezalandırmak .
2005,TCK 5237,282,Mahkeme kararına uymayan kişi cezalandırılır.,Mahke karar uymak kişi cezalandırmak .
1926,TCK 765,473,Kaçakçılık yapan şahıs cezalandırılır.,kaçakçı yapmak şâhıs cezalandırmak .
2005,TCK 5237,560,Kaçakçılık suçu kapsamında ceza uygulanır.,kaçakçı suç Kapsam ceza uygulamak .
1926,TCK 765,512,Görevli memura karşı tehdit suçu işlenirse ceza verilir.,görev memur karşı tehdit suç işlemek ceza vermek .
2005,TCK 5237,106,Tehdit suçunu işleyen kişi cezalandırılır.,tehdit suç işlemek kişi cezalandırmak .
1926,TCK 765,528,Kamu düzenini bozan davranışlar cezalandırılır.,kamu düzen bozmak davranış cezalandırmak .
2005,TCK 5237,217,Halkı kin ve düşmanlığa tahrik eden kişiye ceza verilir.,halk kin ve düşman tahrik etmek kişi ceza vermek .
1926,TCK 765,470,Cinayete azmettiren cezalandırılır.,cinayet azmetmek cezalandırmak .
2005,TCK 5237,38,"Azmettiren, asli fail gibi cezalandırılır.","azmetmek , aslî fail gibi cezalandırmak ."
1926,TCK 765,476,Sahtecilik yapan kişi ağır ceza alır.,sahte yapmak kişi ağır ceza Unk .
2005,TCK 5237,204,Resmi belgede sahtecilik suçunu işleyen kişi cezalandırılır.,resmî Belge sahte suç işlemek kişi cezalandırmak .
1926,TCK 765,501,Yargı kararlarını uygulamayan kişi suç işlemiş sayılır.,yargı karar uygulamak kişi suç işlemek saymak .
2005,TCK 5237,281,Yargıya ilişkin suçları işleyen kişiler cezalandırılır.,yargı ilişkin suç işlemek kişi cezalandırmak .
1926,TCK 765,488,Haksız yere başkasının kimliğini kullanan kişi cezalandırılır.,hak yermek başka kimlik kullanmak kişi cezalandırmak .
2005,TCK 5237,268,Başkasının kimliğini kullanan kişi hakkında ceza verilir.,başka kimlik kullanmak kişi hakkında ceza vermek .
1926,TCK 765,486,Sahte resmi evrak düzenleyen cezalandırılır.,sahte resmî evrak düzenlemek cezalandırmak .
2005,TCK 5237,204,Resmî belgede sahtecilik yapan kişi cezalandırılır.,resmî Belge sahte yapmak kişi cezalandırmak .
1926,TCK 765,506,Rüşveti kabul eden kamu görevlisi cezalandırılır.,rüşvet kabul etmek kamu görev cezalandırmak .
2005,TCK 5237,252,Rüşvet alan ve veren kişi cezalandırılır.,rüşvet ala ve vermek kişi cezalandırmak .
1926,TCK 765,427,Çocuğu cinsel amaçlı kullanan cezalandırılır.,çocuk cinsel amaç kullanmak cezalandırmak .
2005,TCK 5237,103,Çocuğun cinsel istismarı suç olarak tanımlanır.,çocuk cinsel istismar suç olmak tanımlamak .
1926,TCK 765,497,Yetkisiz silah taşıyan kişi cezalandırılır.,yetki silâh taşımak kişi cezalandırmak .
2005,TCK 5237,6136 Sayılı Kanun,Ruhsatsız silah bulunduran kişi hakkında cezai işlem uygulanır.,Ruhsat silâh bulundurmak kişi hakkında cezai işlem uygulamak .
1926,TCK 765,540,Suçu üstlenerek gerçek faili saklayan kişi cezalandırılır.,suç üstlenmek gerçek fail saklamak kişi cezalandırmak .
2005,TCK 5237,270,Suçluyu kayıran kişi cezalandırılır.,suçlu kayırmak kişi cezalandırmak .
1926,TCK 765,529,Kamu düzenini bozan toplantı düzenleyen kişi cezalandırılır.,kamu düzen bozmak toplantı düzenlemek kişi cezalandırmak .
2005,TCK 5237,217/A,Toplantı ve yürüyüş düzenleyerek kamu düzenini bozan kişi hakkında işlem yapılır.,toplantı ve yürümek düzenlemek kamu düzen bozmak kişi hakkında işlem yapmak .
1926,TCK 765,538,Mühür kırma suçunu işleyen kişi cezalandırılır.,mühür kırma suç işlemek kişi cezalandırmak .
2005,TCK 5237,203,Resmî mührün bozulması suç olarak tanımlanır.,resmî mühür bozulmak suç olmak tanımlamak .
1926,TCK 765,445,Düşman devlete casusluk yapan kişi cezalandırılır.,düşman devlet casus yapmak kişi cezalandırmak .
2005,TCK 5237,328,Devletin güvenliğine ilişkin bilgileri yabancı devlet lehine kullanan kişi cezalandırılır.,devlet güvenlik ilişkin bilgi yabancı devlet leh kullanmak kişi cezalandırmak .
1926,TCK 765,518,Oy kullanma hakkını engelleyen kişi cezalandırılır.,oy kullanmak hak engellemek kişi cezalandırmak .
2005,TCK 5237,297,Seçme ve seçilme hakkını engelleyen kişi hakkında ceza uygulanır.,seçmek ve seçilmek hak engellemek kişi hakkında ceza uygulamak .
1926,TCK 765,494,Gasp sırasında yaralama suçu işleyen kişi ağır cezalandırılır.,gasp sırasında yaralamak suç işlemek kişi ağır cezalandırmak .
2005,TCK 5237,149,Yağma suçunun silahla ve yaralama ile işlenmesi ağır cezayı gerektirir.,yağma suç silâhlamak ve yaralamak ile işlemek ağır ceza gerekmek .
1926,TCK 765,514,Zorla çalıştırma suçu işleyen kişi cezalandırılır.,zorla çalışmak suç işlemek kişi cezalandırmak .
2005,TCK 5237,117,Çalışma hürriyetinin ihlali suçtur.,çalışmak hürriyet ihlâl suç .
1926,TCK 765,432,Reşit olmayanla cinsel ilişki kuran kişi cezalandırılır.,reşit olmak cinsel ilişki kurmak kişi cezalandırmak .
2005,TCK 5237,104,Reşit olmayanla cinsel ilişki kurma suçu düzenlenmiştir.,reşit olmak cinsel ilişki kurmak suç düzenlemek .
1926,TCK 765,515,Toplu taşımayı engelleyen eylem yapan kişi cezalandırılır.,toplu taşımak engellemek eylem yapmak kişi cezalandırmak .
2005,TCK 5237,152,Kamu hizmetini engelleyen fiil suç sayılır.,kamu hizmet engellemek fiil suç saymak .
1926,TCK 765,434,Haksız yere tutuklama yapan kişi cezalandırılır.,hak yermek tutuklamak yapmak kişi cezalandırmak .
2005,TCK 5237,109,Kişiyi hürriyetinden yoksun bırakma suçu işlenmiş olur.,kişi hürriyet yoksun bırakmak suç işlemek olur .
1926,TCK 765,435,Kaçan hükümlüye yardım eden kişi cezalandırılır.,kaçmak hüküm yarmak etmek kişi cezalandırmak .
2005,TCK 5237,283,Suçlunun kaçmasına yardım eden kişi cezalandırılır.,suçlu kaçmak yarmak etmek kişi cezalandırmak .
1926,TCK 765,455,Tehlikeli maddeyi izinsiz bulunduran kişi cezalandırılır.,tehlike madde izin bulundurmak kişi cezalandırmak .
2005,TCK 5237,174,Tehlikeli maddeleri izinsiz bulundurma suçu cezalandırılır.,tehlike madde izin bulundurmak suç cezalandırmak .
1926,TCK 765,555,Halkı isyana teşvik eden kişi cezalandırılır.,halk isyan teşvik etmek kişi cezalandırmak .
2005,TCK 5237,313,Halkı silahlı isyana tahrik eden kişi ağır cezalandırılır.,halk silâh isyan tahrik etmek kişi ağır cezalandırmak .
1926,TCK 765,483,Özel hayatın gizliliğini ihlal eden kişi hakkında ceza verilir.,özel hayat gizli ihlâl etmek kişi hakkında ceza vermek .
2005,TCK 5237,134,Özel hayatın gizliliğini ihlal eden kişi cezalandırılır.,özel hayat gizli ihlâl etmek kişi cezalandırmak .
1926,TCK 765,421,Görevli memurun görevini yapmasını engelleyen kişi cezalandırılır.,görev memur görev yapmak engellemek kişi cezalandırmak .
2005,TCK 5237,265,Kamu görevlisine görevinden dolayı direnme suçtur.,kamu görev görev dolayı direnmek suç .
1926,TCK 765,516,Yargılamayı etkilemek amacıyla delil uyduran kişi cezalandırılır.,yargılamak etkilemek amaç delil uydurmak kişi cezalandırmak .
2005,TCK 5237,277,Yargı görevini yapanı etkilemeye teşebbüs eden kişi cezalandırılır.,yargı görev yapmak etkilemek teşebbüs etmek kişi cezalandırmak .
1926,TCK 765,471,Kasten yangın çıkaran kişi cezalandırılır.,kasten yangın çıkarmak kişi cezalandırmak .
2005,TCK 5237,170,Genel güvenliği kasten tehlikeye sokan kişi cezalandırılır.,genel güvenlik kasten tehlike sokmak kişi cezalandırmak .
1926,TCK 765,468,Tehlikeli hayvanı serbest bırakan kişi cezalandırılır.,tehlike hayvan serbest bırakmak kişi cezalandırmak .
2005,TCK 5237,177,Hayvanı tehlikeli biçimde serbest bırakma suçu tanımlanmıştır.,hayvan tehlike biçim serbest bırakmak suç tanımlamak .
1926,TCK 765,481,Suç işlemek amacıyla teşekkül kuran kişi cezalandırılır.,suç işlemek amaç teşekkül kurmak kişi cezalandırmak .
2005,TCK 5237,220,"Suç örgütü kuran, yöneten veya üye olan kişi cezalandırılır.","suç örgüt kurmak , yönetmek veya üye olmak kişi cezalandırmak ."
1926,TCK 765,473,Görev sırasında yetkisini aşan asker cezalandırılır.,görev sırasında yetki aşmak asker cezalandırmak .
2005,TCK 5237,256,Yetkisini kötüye kullanan kamu görevlisi cezalandırılır.,yetki kötü kullanmak kamu görev cezalandırmak .
1926,TCK 765,539,Görevle ilgili sırrı açıklayan memur cezalandırılır.,görev ilgili sır açıklamak memur cezalandırmak .
2005,TCK 5237,258,Göreve ilişkin sırrı ifşa eden kişi cezalandırılır.,görev ilişkin sır ifşa etmek kişi cezalandırmak .
1926,TCK 765,462,Taksirle insan yaralayan kişi cezalandırılır.,taksir insan yaralamak kişi cezalandırmak .
2005,TCK 5237,89,Taksirle yaralama suçu kapsamında ceza uygulanır.,taksir yaralamak suç Kapsam ceza uygulamak .
1926,TCK 765,550,Taksirle ölüme sebebiyet veren kişi cezalandırılır.,taksir ölü sebebiyet vermek kişi cezalandırmak .
2005,TCK 5237,85,Taksirle ölüme neden olma suçu tanımlanır.,taksir ölü neden olmak suç tanımlamak .
1926,TCK 765,511,Resmi görevli kimliğini sahte olarak kullanan kişi cezalandırılır.,resmî görev kimlik sahte olmak kullanmak kişi cezalandırmak .
2005,TCK 5237,264,Görevli sıfatını sahte olarak kullanan kişi hakkında ceza uygulanır.,görev sıfat sahte olmak kullanmak kişi hakkında ceza uygulamak .
1926,TCK 765,457,İmar mevzuatına aykırı inşaat yapan kişi cezalandırılır.,Unk mevzuat aykırı inşaat yapmak kişi cezalandırmak .
2005,TCK 5237,184,İmar kirliliğine neden olan kişi cezalandırılır.,Unk kir neden olmak kişi cezalandırmak .
1926,TCK 765,443,Kamu alacağını tahsil etmeyen görevli cezalandırılır.,kamu alacak tahsil etmek görev cezalandırmak .
2005,TCK 5237,248,Kamu görevlisinin kamu zararına yol açacak şekilde davranması cezalandırılır.,kamu görev kamu zararına yolmak açmak şekil davranmak cezalandırmak .
1926,TCK 765,525,Haksız yere gözaltı yapan kişi cezalandırılır.,hak yermek gözaltı yapmak kişi cezalandırmak .
2005,TCK 5237,109,Hukuka aykırı olarak bir kişiyi hürriyetinden yoksun bırakan kişi cezalandırılır.,hukuk aykırı olmak bir kişi hürriyet yoksun bırakmak kişi cezalandırmak .
1926,TCK 765,505,Sahte mühür kullanan kişi cezalandırılır.,sahte mühür kullanmak kişi cezalandırmak .
2005,TCK 5237,202,Resmi mühürde sahtecilik suçu tanımlanmıştır.,resmî mühür sahte suç tanımlamak .
1926,TCK 765,443,Görevi kötüye kullanan zabıta cezalandırılır.,görev kötü kullanmak zabıta cezalandırmak .
2005,TCK 5237,257,Görevi kötüye kullanma suçu kapsamındadır.,görev kötü kullanmak suç Kapsam .
1926,TCK 765,437,Akıl hastasını kasten zarar görecek şekilde serbest bırakan kişi cezalandırılır.,akıl hasta kasten zarar görmek şekil serbest bırakmak kişi cezalandırmak .
2005,TCK 5237,98,Yardım veya bildirim yükümlülüğünün yerine getirilmemesi suç kapsamına girer.,yarmak veya bildiri yüküm yerine getirmek suç Kapsam girmek .
1926,TCK 765,544,İhaleye fesat karıştıran kişi cezalandırılır.,Unk fesat karışmak kişi cezalandırmak .
2005,TCK 5237,235,İhaleye fesat karıştırmak suçu açıkça tanımlanır.,Unk fesat karışmak suç açık tanımlamak .
1926,TCK 765,490,Hırsızlık için yapılan kazı veya delme faaliyeti cezalandırılır.,hırsız için yapılanmak kazımak veya delmek faaliyet cezalandırmak .
2005,TCK 5237,143,Suçun gece vakti veya kırma/delme yoluyla işlenmesi nitelikli hale getirir.,suç gece vakit veya Unk yoluyla iş nitelik hal getirmek .
1926,TCK 765,478,Aile bireyine kötü muamele eden kişi cezalandırılır.,aile birey kötü muamele etmek kişi cezalandırmak .
2005,TCK 5237,232,Aile içi kötü muamele suçu tanımlanır.,aile iç kötü muamele suç tanımlamak .
1926,TCK 765,504,Haksız menfaat sağlayan görevli cezalandırılır.,hak menfaat sağlamak görev cezalandırmak .
2005,TCK 5237,250,Görevi nedeniyle haksız menfaat sağlayan kişi cezalandırılır.,görev nedeniyle hak menfaat sağlamak kişi cezalandırmak .
1926,TCK 765,552,Adli sicil kaydını usulsüz silen kişi cezalandırılır.,adli sicil kayıt usul silmek kişi cezalandırmak .
2005,TCK 5237,204-257,Resmi belgede sahtecilik ve görevi kötüye kullanma kapsamında değerlendirilir.,resmî Belge sahte ve görev kötü kullanmak Kapsam değerlendirmek .
1926,TCK 765,514,Kamu ulaşım araçlarını engelleyen eylem yapan kişi cezalandırılır.,kamu Ulaş araç engellemek eylem yapmak kişi cezalandırmak .
2005,TCK 5237,151,Toplu taşıma aracına zarar veren kişi cezalandırılır.,toplu taş araç zarar vermek kişi cezalandırmak .
1926,TCK 765,510,Kamu malını özel işlerinde kullanan görevli cezalandırılır.,kamu mal özel iş kullanmak görev cezalandırmak .
2005,TCK 5237,257,Kamu malını özel işlerinde kullanan kamu görevlisi cezalandırılır.,kamu mal özel iş kullanmak kamu görev cezalandırmak .
1926,TCK 765,459,Mahkeme kararını uygulamayan yönetici cezalandırılır.,Mahke karar uygulamak yönetmek cezalandırmak .
2005,TCK 5237,282,Mahkeme kararına muhalefet eden kişi hakkında işlem yapılır.,Mahke karar muhalefet etmek kişi hakkında işlem yapmak .
1926,TCK 765,547,Cezaevi disiplin kurallarını ihlal eden kişi cezalandırılır.,cezaevi disiplin kural ihlâl etmek kişi cezalandırmak .
2005,TCK 5237,292,Tutuklu veya hükümlünün cezaevinden firar etmesi cezalandırılır.,tutuklu veya hüküm cezaevi firar etmek cezalandırmak .
1926,TCK 765,497,Silahla tehdit suçu işleyen kişi ağır cezalandırılır.,silâhlamak tehdit suç Unk kişi ağır cezalandırmak .
2005,TCK 5237,106,"Silahla tehdit, suçun nitelikli hali sayılır.","silâhlamak tehdit , suç nitelik hal saymak ."
1926,TCK 765,451,Kişiye karşı işlenen nitelikli yaralama suçu cezalandırılır.,kişi karşı iş nitelik yaralamak suç cezalandırmak .
2005,TCK 5237,87,Neticesi sebebiyle ağırlaşmış yaralama suçu tanımlanır.,netice sebebiyle ağır yaralamak suç tanımlamak .
1926,TCK 765,509,Görevli memura itaatsizlik eden kişi cezalandırılır.,görev memur itaat etmek kişi cezalandırmak .
2005,TCK 5237,265,Görevli memura karşı koyan kişi cezalandırılır.,görev memur karşı koymak kişi cezalandırmak .
1926,TCK 765,535,Kadınların aldatılarak fuhşa zorlanması cezalandırılır.,kadın aldatmak fuhuş zor cezalandırmak .
2005,TCK 5237,227,Fuhuşa teşvik ve aracılık suçu tanımlanır.,fuhuş teşvik ve aracı suç tanımlamak .
1926,TCK 765,495,Yaralama sonucunda ölüm gerçekleşirse ağır ceza verilir.,yaralamak sonuç ölüm gerçek ağır ceza vermek .
2005,TCK 5237,87,Yaralamanın ölüme neden olması durumunda ceza artırılır.,yaralamak ölü neden olmak durum ceza artırmak .
1926,TCK 765,545,Görevi sırasında rüşvet alan zabıta cezalandırılır.,görev sırasında rüşvet ala zabıta cezalandırmak .
2005,TCK 5237,252,Rüşvet suçu görevde olan herkes için geçerlidir.,rüşvet suç görev olmak herkes için geçerli .
